 ,Area,Mean,Min,Max,Angle,Length
1,20.646,158.707,130.734,178.817,-22.620,32.455
2,47.136,153.699,104.200,187.667,-3.814,75.063
3,51.421,149.551,104.956,171.571,-7.883,81.913
4,22.594,153.348,119.665,172.260,98.130,35.307
5,14.803,149.123,121.581,170.000,60.642,22.916
6,23.373,150.482,105.797,170.000,23.962,36.883
7,41.682,148.002,103.010,170.000,-61.991,66.453
8,24.932,143.475,111.348,170.000,22.479,39.177
9,21.036,147.055,111.757,170.000,-24.624,32.956
10,26.100,143.680,98.140,170.000,77.661,40.890
